一連,いちれん,sequence(connect)
症状,しょうじょう,symptoms
発話,はつわ,speech
皆無,かいむ,nothing(every+nothing)
相席,あいせき,sharing a table with someone
相当,そうとう,corresponding to(in meaning)
相撲,すもう,Sumo
省略,しょうりゃく,omission
砕ける,くだける,to be broken(intr)
確定,かくてい,confirmation(sure+fix)
確認,かくにん,confirmation
示す,しめす,to indicate
禁止,きんし,prohibition
移動,いどう,transfer(move+move)
種類,しゅるい,kind(category)
約束,やくそく,promise(promise+bundle)
組織,そしき,organized(assoc+weave)
経験,けいけん,Experience
絵教材,えきょうざい,picture+teaching materials
練習の際,れんしゅうのさい,when practice
繋がり,つながり,connection
繰り返し,くりかえし,repeat
職業,しょくぎょう,occupation
肯定,こうてい,affirmitive(agree+fix)
自宅,じたく,own house
著しい,いちじるしい,considerable(remarkable)
行為,こうい,deed(noble act)
表す,あらわす,to show(to express)
複数,ふくすう,plural
見学,けんがく,inspection
規則,きそく,regulations
視覚的,しかくてき,visual(editor)
解説,かいせつ,detailed explanation
訪問,ほうもん,visit
訪問先,ほうもんさき,destination
設定,せってい,to set up(prepare+fix)
許可,きょか,permission
診察,しんさつ,physical examination
評価,ひょうか,assessment(judgement)
誘う,さそう,to invite
語彙,ごい,vocabulary(word+type)
誤解,ごかい,misunderstanding
読解,どっかい,reading comprehansion
費用,ひよう,cost
資料,しりょう,documents
距離,きょり,distance(long dist+detach)
身につける,みにつける,to learn
身内,みうち,relatives(family)
身分,みぶん,(social) standing
身近,みぢか,near oneself
辞する,じする,to take leave
込める,こめる,to load(a gun)
近況報告,きんきょうほうこく,exchange of recent news
返答,へんとう,answer
追う,おう,to follow after
送別会,そうべつかい,farewell party
逆,ぎゃく,reverse assessment(A but also B)
逆立ち,さかだち,being upside down
通過,つうか,passing through(pass+overdo)
過去,かこ,past
病状,びょうじょう,patient's condition
道順,みちじゅん,course(direction sequence?)
選択,せんたく,selection
配慮,はいりょ,concern
野球,やきゅう,Baseball
門限,もんげん,closing time
関する,かんする,to be related
関係,かんけい,relation(conn+conn)
静か,しずか,quiet(place)
順序,じゅんじょ,sequence
作業,さぎょう,task
登場,とうじょう,arrival(appearance)
特定,とくてい,specific(moment)
状況,じょうきょう,state in general
異なる,ことなる,to differ(intr)
余裕,よゆう,surplus(to afford something)
軽い,かるい,lite
治療,ちりょう,Therapy
難易度,たんいど,difficulty degree
判断,はんだん,judgement
意志,いし,will(intention)
依願,いがい,in accordance to ones request
助言,じょげん,Advice
情報,じょうほう,information
提供,ていきょう,donation
頼り,たより,reliance(on onself)
方言,ほうげん,dialect
唱える,となえる,to chant(to say) 
構造,こうぞう,structure(posture+create)
直前,ちょくぜん,just before
夫,おっと,husband
合わせる,あわせる,to match(tr)
所在,しょぞん,location(on a map)
将来,しょうらい,future
廊下,ろうか,corridor
初級,しょきゅう,elementary level
位置,いち,position(location)
依然,いぜん,still(still there)
意図,いと,intention(intentional)
遅れる,おこれる,to be late
振舞う,ふるまう,to behave
想像,そうぞう,guess(supposition)
時速,じそく,speed(per h)
昨夜,さくや,last night
副次的,ふくじてき,secondary
期間,きかん,period
進行,しんこう,moving forward
渡る,わたる,to cover(to extend)
添加,てんか,addition
累加,るいか,progressive increase
充電,じゅうでん,charge
詐欺師,さぎし,scammer
確立された接続,かくりつされたせつぞく,establish connection	
切断された接続,せつだんされたせつぞく,interrupted connection
発信者,はっしんしゃ,caller number
受信エリア,じゅしんえりあ,network coverage area
通知,つうち,notification
発信者の身元,はっしんしゃのみもと,caller identity		
自撮り,じどり,selfie
充電器,じゅうでんき,charger
通話先,つうわさき,call destination
通話元,つうわもと,call origin
発信,はっしん,outgoing signal
着信,ちゃくしん,incoming signal
不都合,ふつごう,unfavourable
遺憾,いかん,regret
何らか,なんらか,in some way
伝える,つたえる,to report
お馴染み,おなじみ,familiar
迷いなく,まよいなく,without hesitation
底,そこ,bottom(of page)
防止,ぼうし,prevention
認識,にんしき,understanding
無神経,むしんけい,insensitive
指示に従う,しじにしたがう,to follow instructions
知覚,ちかく,Perception
被害者,ひがいしゃ,victim
自身,じしん,(one's) self
