野菜,やさい,vegetable
遅れる,おくれる,to be late
多い,おおい,many
起きる,おきる,to get up
教える,おしえる,to teach
進む,すすむ,to go forward
弟,おとうと,younger brother
同じ,おなじ,same
連絡,れんらく,to contact
込む,こむ,to be crowded
重い,おもい,heavy
終わる,おわる,to finish
音楽,おんがく,music
会社,かいしゃ,company
買い物,かいもの,shopping
踊る,おどる,to dance
踊り,おどり,dance
貸す,かす,to lend
趣味,しゅみ,hobby
家族,かぞく,family
方,ほう,way of doing
紙,かみ,paper
林,はやし,woods
体,からだ,body
借りる,かりる,to borrow
漢字,かんじ,Chinese character
切手,きって,postage stamp
牛肉,ぎゅうにく,Beef
教室,きょうしつ,Classroom
兄弟,きょうだい,(humble) siblings
去年,きょねん,last year
切る,きる,to cut
着る,きる,to put on from the shoulders down
銀行,ぎんこう,bank
赤んぼう,あかんぼう,baby
負ける,まける,to lose
黒,くろ,Black
黒い,くろい,black
今朝,けさ,this morning
月曜日,げつようび,Monday
課長,かちょう,section manager
説明,せつめい,explanation
今週,こんしゅう,this week
魚,さかな,fish
作文,さくぶん,written composition
試合,しあい,match game
質問,しつもん,question
自転車,じてんしゃ,bicycle
自動車,じどうしゃ,automobile
死ぬ,しぬ,to die
写真,しゃしん,photograph
上手,じょうず,skillful
食堂,しょくどう,dining hall
知る,しる,to know
新聞,しんぶん,newspaper
触る,さわる,to touch 
少ない,すくない,a few
裏,うら,bottom
住む,すむ,to live in
先週,せんしゅう,last week
空,そら,sky
大使館,たいしかん,embassy
大切,たいせつ,important
立つ,たつ,to stand
建物,たてもの,building
楽しい,たのしい,enjoyable
血,ち,blood
近い,ちかい,near
近く,ちかく,near
地図,ちず,map
茶色,ちゃいろ,brown
使う,つかう,to use
着く,つく,to arrive at
作る,つくる,to make
強い,つよい,powerful
虫,むし,insect
手紙,てがみ,letter
出口,でぐち,exit
動物,どうぶつ,animal
時計,とけい,clock
図書館,としょかん,library
葉,は,leaf
落ちる,おちる,to fall down
鳥,とり,bird
とり肉,とりにく,chicken meat
落とす,おとす,to drop something
夏休み,なつやすみ,summer holiday
習う,ならう,to learn
草,くさ,grass
船,ふね,ship
興味,きょうみ,interest in something
腕,うで,arm
始まる,はじまる,to begin
始め,はじめ,beginning
背中,せなか,back of body
花,はな,flower
早い,はやい,early
美しい,うつくしい,beautiful
病院,びょういん,hospital
病気,びょうき,illness
昼,ひる,daytime
広い,ひろい,wide
服,ふく,clothes
線,せん,line
古い,ふるい,old
下手,へた,unskillful
勉強,べんきょう,to study
毎朝,まいあさ,every morning
毎週,まいしゅう,every week
町,まち,town, city
待つ,まつ,to wait
続ける,つづける,to continue something
続く,つづく,to continued (intr)
紹介,しょうかい,presentation
もう一度,もういちど,again
約束,やくそく,promise
持つ,もつ,to hold
物,もの,thing
問題,もんだい,problem
森,もり,forest
簡単,かんたん,simple
夕方,ゆうがた,evening
夕飯,ゆうはん,dinner
有名,ゆうめい,famous
洋服,ようふく,western-style clothes
夜,よる,night
来週,らいしゅう,next week
料理,りょうり,cuisine
旅行,りょこう,travel
悪い,わるい,bad
お礼,おれい,gratitude
お祝い,おいわい,congratulation
お祭り,おまつり,festival
ご主人,ごしゅじん,her husband
答え,こたえ,answer
笑う,わらう,to laugh
星,ほし,star
上がる,あがる,to rise (intr)
石,いし,stone
眠る,ねむる,to sleep
眠い,ねむい,sleepy
久しぶり,ひさしぶり,a long time no see
乗り物,のりもの,vehicle
真ん中,まんなか,middle
事故,じこ,accident
二階建て,にかいだて,two-storied building
皆,みな、みんな,everyone
交通,こうつう,traffic
番組,ばんぐみ,program (e.g. TV)
生活,せいかつ,living activity
伝える,つたえる,to convey
似る,にる,to be similar
片付ける,かたづける,to tidy up
点,てん,dot
漫画,まんが,comic
優しい,やさしい,tender
先輩,せんぱい,senior (at work or school)
光,ひかり,light
光る,ひかる,to shine
具合,ぐあい,condition
内,うち,inside
冷たい,つめたい,cold (to the touch)
湯,ゆ,hot water
動物園,どうぶつえん,zoo
勝つ,かつ,to win
包む,つつむ、くるむ,to wrap up
十分,じゅうぶん,enough
卒業,そつぎょう,completion (e.g. of a course)
危険,きけん,danger
受ける,うける,to receive
湖,みずうみ,lake
普通,ふつう,ordinary
合う,あう,to come together
向かう,むかう,to face
君,きみ,you
周り,まわり,surroundings
困る,こまる,to be troubled
固い,かたい,solid
地震,じしん,earthquake
坂,さか,slope
深い,ふかい,deep
場所,ばしょ,place
消しゴム,けしごむ,eraser
声,こえ,voice
変,へん,strange
変える,かえる,to change (trn)
変わる,かわる,to change (intr)
夢,ゆめ,dream
太る,ふとる,to grow fat (stout, plump)
泣く,なく,to cry; to weep
娘,むすめ,(my) daughter
安全,あんぜん,safety
客,きゃく,guest
寺,てら,temple (Buddhist)
将来,しょうらい,future (usually near)
小説,しょうせつ,short story
届ける,とどける,to deliver
島,しま,island
泊まる,とまる,to stay at (e.g. hotel)
決める,きめる,to decide
布団,ふとん,futon
席,せき,seat
引き出し,ひきだし,drawing out
決まる,きまる,to be decided
気分,きぶん,feeling; mood
役に立つ,やくにたつ,to be helpful
彼,かれ,that person
彼女,かのじょ,girlfriend
復習,ふくしゅう,review
忘れ物,わすれもの,lost article
怒る,おこる,to get angry
怖い,こわい,scary
恥ずかしい,はずかしい,ashamed
息子,むすこ,son
悲しい,かなしい,sad
毛,け、もう,hair
残る,のこる,to remain
戻る,もどる,to turn back
手伝う,てつだう,to assist
手袋,てぶくろ,glove
打つ,うつ、ぶつ,to hit
払う,はらう,to pay
押し入れ,おしいれ,closet
拾う,ひろう,to pick up
指,ゆび,finger
指輪,ゆびわ,(finger) ring
探す,さがす,to search
故障,こしょう,breakdown
歴史,れきし,history
数学,すうがく,mathematics
文化,ぶんか,culture
机,つくえ,desk
日記,にっき,diary

